Client,data_recente,target,qt_faltas,moda_staff_faltante,moda_servico_faltante,moda_servico_cancelado,moda_staff_cancelado,antecedencia,qt_cancelamentos,moda_staff_prestou_servico,moda_dia,qte_servicos_por_dia,media,mediana,desvio_padrao,min,max,sum,qte_servico_recebido,recencia,ultimo_pagamento
KINN01,2018-07-07,0,0,nenhum,nenhum,SHCW,JJ,2.0,1,JJ,Friday,1.3333333333333333,67.8475,67.0,29.840236119485827,35.39,102.0,271.39,4,43.0,102.0
WILK01,2018-04-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
CASH01,2018-07-07,0,2,JJ,CON,nenhum,nenhum,,0,JJ,Tuesday,1.0,92.0,92.0,14.142135623730951,82.0,102.0,184.0,2,32.0,102.0
SPEK01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Saturday,1.5,74.0,70.0,26.229754097208,50.0,102.0,222.0,3,19.0,172.0
CHOK01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
POIJ01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
PIJM01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SMIS01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,JOANNE,Saturday,1.0,140.0,140.0,,140.0,140.0,140.0,1,56.0,140.0
MORD01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,KELLY,Wednesday,1.0,35.0,35.0,,35.0,35.0,35.0,1,38.0,35.0
NADS01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Friday,3.0,55.666666666666664,50.0,17.214335111567145,42.0,75.0,167.0,3,36.0,167.0
BERH01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Wednesday,1.5,78.0,90.0,22.538855339169288,52.0,92.0,234.0,3,45.0,52.0
MACB01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Saturday,3.0,48.75,33.52,28.829115491114187,30.73,82.0,146.25,3,70.0,146.25
SQUN01,2018-07-07,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
SMIL01,2018-07-26,0,0,nenhum,nenhum,nenhum,nenhum,,0,JJ,Tuesday,1.0,40.0,40.0,,40.0,40.0,40.0,1,16.0,40.0
MART01,2018-07-10,0,0,nenhum,nenhum,nenhum,nenhum,,0,nenhum,nenhum,,,,,,,0.0,0,,0.0
