Receipt,Date,Description,Client,Staff,Quantity,Amount,GST,PST,mes_nome,mes_n,dia_nome,dia_n
300,2018-04-25,Shu cleansing oil sh400ml,SLUS01,JJ,1,53.2,2.66,4.256,April,4,Wednesday,2
301,2018-04-25,Men's hair cut,STOV01,JJ,1,40.0,2.0,3.2,April,4,Wednesday,2
302,2018-04-25,Women's hair cut,BOYL01,SINEAD,1,70.0,3.5,5.6,April,4,Wednesday,2
302,2018-04-25,Color mini touch up,BOYL01,SINEAD,1,45.0,2.25,3.6,April,4,Wednesday,2
303,2018-04-25,Women's hair cut,MCGA01,JJ,1,82.0,4.1,6.56,April,4,Wednesday,2
304,2018-04-25,Women's hair cut,RUTM01,JJ,1,82.0,4.1,6.56,April,4,Wednesday,2
305,2018-04-25,Women's hair cut,YOUS01,SINEAD,1,70.0,3.5,5.6,April,4,Wednesday,2
306,2018-04-25,Blowdry,ZUGL01,SINEAD,1,30.0,1.5,2.4,April,4,Wednesday,2
308,2018-04-26,Blowdry,RODP01,SINEAD,1,30.0,1.5,2.4,April,4,Thursday,3
308,2018-04-26,Treatments 1,RODP01,SINEAD,1,20.0,1.0,1.6,April,4,Thursday,3
309,2018-04-26,Women's hair cut,GREM01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
309,2018-04-26,Shu essence absolue C.milk 250,GREM01,JJ,1,50.4,2.52,4.032,April,4,Thursday,3
309,2018-04-26,KM Motion lotion 150ml,GREM01,JJ,1,28.8,1.44,2.304,April,4,Thursday,3
31,2018-03-21,Men's hair cut,ROLD01,JJ,1,40.0,2.0,3.2,March,3,Wednesday,2
311,2018-04-26,Color touch up,BANR01,BECKY,1,55.0,2.75,4.4,April,4,Thursday,3
311,2018-04-26,Blowdry,BANR01,BECKY,1,40.0,2.0,3.2,April,4,Thursday,3
312,2018-04-26,Women's hair cut,GELK01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
312,2018-04-26,Shu cleansing oil sh400ml,GELK01,JJ,1,50.4,2.52,4.032,April,4,Thursday,3
313,2018-04-26,Blowdry,HOLL01,SINEAD,1,50.0,2.5,4.0,April,4,Thursday,3
314,2018-04-26,Blowdry,BROS01,BECKY,1,50.0,2.5,4.0,April,4,Thursday,3
315,2018-04-26,Women's hair cut,COLG01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
316,2018-04-26,Men's hair cut,COLR01,BECKY,1,30.0,1.5,2.4,April,4,Thursday,3
317,2018-04-26,Women's hair cut,MOIB01,SINEAD,1,70.0,3.5,5.6,April,4,Thursday,3
318,2018-04-26,Women's hair cut,BUSM01,SINEAD,1,70.0,3.5,5.6,April,4,Thursday,3
319,2018-04-26,Women's hair cut,CARC01,JJ,1,82.0,4.1,6.56,April,4,Thursday,3
32,2018-03-21,Women's hair cut,CASH01,JJ,1,82.0,4.1,6.56,March,3,Wednesday,2
320,2018-04-26,Men's hair cut,GALB01,JJ,1,60.0,3.0,4.8,April,4,Thursday,3
