cliente,qte_faltas,moda_servico_faltante,moda_staff_faltante,moda_servico_cancelado,moda_staff_cancelado,moda_staff_cancelador_cancelado,antecedencia,qte_cancelamento,qte_servicos_por_dia,moda_staff_prestou_servico,moda_dia,mean,median,std,max,min,frequencia
BERI01,0.0,,,,,,,0.0,1.25,JJ,Saturday,54.08,60.0,8.901235869248719,60.0,40.0,5
STEH01,0.0,,,,,,,0.0,1.0,JJ,Friday,50.0,50.0,14.142135623730951,60.0,40.0,2
LEWH02,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,35.0,35.0,,35.0,35.0,1
GREB01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,40.0,40.0,,40.0,40.0,1
WOOD01,0.0,,,,,,,0.0,2.0,JJ,Wednesday,81.83333333333333,81.0,19.579751445477207,102.0,55.0,6
MESN01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,55.0,55.0,7.0710678118654755,60.0,50.0,2
HOWC01,0.0,,,,,,,0.0,1.5,JJ,Wednesday,45.93333333333334,40.0,12.231652927275746,60.0,37.8,3
PARS01,0.0,,,,,,,0.0,1.0,BECKY,Wednesday,80.0,80.0,,80.0,80.0,1
COXH01,0.0,,,,,,,0.0,2.0,KELLY,Wednesday,47.125,43.025,22.245168014649835,75.0,27.45,4
MCCB01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,43.333333333333336,50.0,11.547005383792515,50.0,30.0,3
YANM01,0.0,,,,,,,0.0,1.0,KELLY,Wednesday,55.0,55.0,,55.0,55.0,1
SHAS01,0.0,,,,,,,0.0,1.0,JJ,Wednesday,50.0,50.0,14.142135623730951,60.0,40.0,2
WAX*01,0.0,,,,,,,0.0,1.0,JJ,Friday,40.0,40.0,,40.0,40.0,1
DUFD01,3.0,CON,JJ,CON,JJ,CON,4.0,1.0,1.0,JJ,Friday,60.0,60.0,0.0,60.0,60.0,3
BOTS01,0.0,,,,,,,0.0,1.0,KELLY,Thursday,55.0,55.0,,55.0,55.0,1
BOTC01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,60.0,60.0,,60.0,60.0,1
BOTK01,0.0,,,,,,,0.0,1.0,JJ,Thursday,82.0,82.0,,82.0,82.0,1
BENC01,0.0,,,,,,,0.0,1.0,JOANNE,Thursday,67.5,67.5,3.5355339059327378,70.0,65.0,2
SIDA01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,60.0,60.0,0.0,60.0,60.0,4
YEHC01,0.0,,,,,,,0.0,1.0,JJ,Thursday,82.0,82.0,,82.0,82.0,1
NORE01,0.0,,,,,,,0.0,1.0,BECKY,Friday,30.0,30.0,,30.0,30.0,1
HOG*01,0.0,,,,,,,0.0,1.0,BECKY,Thursday,42.5,42.5,10.606601717798213,50.0,35.0,2
SILG01,0.0,,,,,,,0.0,1.0,JJ,Thursday,82.0,82.0,,82.0,82.0,1
BATP01,0.0,,,,,,,0.0,1.0,JJ,Thursday,45.0,45.0,7.0710678118654755,50.0,40.0,2
WASS01,0.0,,,,,,,0.0,1.0,KELLY,Thursday,35.0,35.0,,35.0,35.0,1
MAKM01,0.0,,,,,,,0.0,1.3333333333333333,SINEAD,Thursday,43.0,42.5,11.224972160321824,55.0,32.0,4
